cohort,scenario,K,seed,features,patients,rows,burn,keep,thin,mean_deviance,high_absolute_lag1_fraction,uncertain_label,uncertain_patients,uncertain_fraction,median_max_posterior_probability,minimum_max_posterior_probability,maximum_max_posterior_probability,sorted_cluster_prevalence,elapsed_seconds,config_sha256,probability_scale,scaled_deviance,scaled_lag1_failure,historical_selection_score,rank_within_cohort_seed,selected_within_seed
eicu,primary,5,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,100,2,697209.455611572,0.75,6.0,100,0.0705716302046577,0.972405366625883,0.0,1,0.408610;0.277347;0.161609;0.149612;0.002823,34.9862711429596,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.928266695385754,1.0,1.3644336032810056,3.0,False
mimic,primary,2,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1464829.11943413,0.0,,109,0.0231275196265648,0.997932061018902,0.0,1,0.803734;0.196266,38.2668027877808,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.004880488842363399,0.0,0.004880488842363399,2.0,False
mimic,primary,2,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1464794.86720147,0.0,,107,0.0227031614682792,0.997995893688723,0.0,1,0.804795;0.195205,38.1146230697632,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.007663488082534037,0.0,0.007663488082534037,1.0,True
mimic,primary,2,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1464759.21910889,0.0,,93,0.0197326543602801,0.997877416662166,0.0,1,0.803098;0.196902,38.7896790504456,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0048345435500174675,0.0,0.0048345435500174675,2.0,False
mimic,primary,3,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1462769.25579006,0.0,,439,0.0931466157436877,0.953042042803972,0.0,1,0.592192;0.322512;0.085296,49.3926050662994,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
mimic,primary,3,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1463966.25137059,0.0416666666666667,,372,0.0789306174411203,0.991424891931035,0.0,1,0.774666;0.145130;0.080204,51.3149600028992,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.005716193852507917,0.053763440860215096,0.0540664632215692,3.0,False
mimic,primary,3,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1462712.01497814,0.0,,408,0.086569064290261,0.967950308158544,0.0,1,0.654997;0.262890;0.082113,60.2922608852386,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
mimic,primary,4,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1861004.89938875,0.75,5.0,97,0.0205813706768513,0.99983190486752,0.0,1,0.622746;0.249735;0.126247;0.001273,106.880934000015,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9435501329469426,0.9375,1.3301101846780188,3.0,False
mimic,primary,4,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1461533.88719802,0.03125,5.0,782,0.165924039889667,0.923301928562582,0.0,1,0.552727;0.246128;0.129217;0.071929,99.3725030422211,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.04032258064516129,0.04032258064516129,2.0,False
mimic,primary,4,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1879268.12227423,0.71875,5.0,130,0.0275832802885635,0.998379691177891,0.0,1,0.583492;0.253978;0.161256;0.001273,105.140875816345,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9837116931816495,0.9274193548387096,1.351959820050787,3.0,False
mimic,primary,5,20260805,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1884830.18259519,0.8,6.0,277,0.0587736049225546,0.934788134807344,0.0,1,0.525143;0.166136;0.156800;0.150647;0.001273,119.329097032547,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,1.0,1.4142135623730951,4.0,False
mimic,primary,5,20260806,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1887055.52542986,0.775,6.0,280,0.059410142159983,0.931657524814332,0.0,1,0.530660;0.164227;0.152981;0.150859;0.001273,110.837265968323,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,1.0,1.4142135623730951,4.0,False
mimic,primary,5,20260807,bun;creatinine;urineoutput;crea_divide_basecrea,4713,85021,50,100,2,1886165.46194166,0.775,6.0,294,0.0623806492679822,0.9349269183947,0.0,1,0.551029;0.157861;0.146191;0.143645;0.001273,120.308497905731,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,1.0,1.4142135623730951,4.0,False
